Refactoring Type,Original,Updated,Old Location,New Location,Old Method Line,New Method Line,Description,Commit,Location,Original Line,Updated Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Extract Method,build,compile_snn,,,,, The method compile_snn from the module snntoolbox/target_simulators/INI_target_sim.py in class SNN_compiled is extracted from method build from the module snntoolbox/target_simulators/INI_target_sim.py in class SNN_compiled ,1ad87be11b6083aa7ada75655015cf12001136af,snntoolbox/target_simulators/INI_target_sim.py/SNN_compiled,,,"(90,92)",148.0,"[145.0, 146.0, 148.0, 149.0, 150.0, 151.0, 152.0, 153.0, 154.0]"
Rename Method,reset,reset_spikevars,,,,,['The method reset from the module snntoolbox/core/inisim.py is renamed to reset_spikevars'],1be7c5996fa959572854044d3cc580a2abc6bfa7,snntoolbox/core/inisim.py,233.0,229.0,,,
Extract Method,extract,get_inbound_names,,,,, The method get_inbound_names from the module snntoolbox/model_libs/keras_input_lib.py is extracted from method extract from the module snntoolbox/model_libs/keras_input_lib.py ,1be7c5996fa959572854044d3cc580a2abc6bfa7,snntoolbox/model_libs/keras_input_lib.py,,,"(27,27)",176.0,"[164.0, 165.0, 167.0, 171.0, 172.0, 173.0]"
Move Method,echo,echo,snntoolbox/__init__.py,snntoolbox/core/util.py,55.0,690.0, method echo from the module snntoolbox/__init__.py was moved to module snntoolbox/core/util.py ,1be7c5996fa959572854044d3cc580a2abc6bfa7,,,,,,
Remove Parameter,end_sim,end_sim,,,,,['The parameters [ path filename ] of the method end_sim from the module snntoolbox/target_simulators/brian2_target_sim.py in class SNN_compiled is/are removed'],1c06b893892f885a5d9ee3abb3ebc75f7b578ada,snntoolbox/target_simulators/brian2_target_sim.py/SNN_compiled,376.0,376.0,,,
Move Method,remove_name_counter,remove_name_counter,snntoolbox/simulation/target_simulators/INI_temporal_mean_rate_target_sim.py/SNN,snntoolbox/simulation/utils.py,115.0,1780.0, method remove_name_counter from the module snntoolbox/simulation/target_simulators/INI_temporal_mean_rate_target_sim.py in class SNN was moved to module snntoolbox/simulation/utils.py ,1cb355f49b6e19c9de44b4d7a379c46b48e34f8b,,,,,,
Add Parameter,__init__,__init__,,,,,['The parameters [ pool_type ] are added to the method __init__ from the module snntoolbox/core/inisim.py in class MaxPool2DReLU'],1e0ee7cc2ef00ebbeff663bfa2d041bfaf5233d6,snntoolbox/core/inisim.py/MaxPool2DReLU,408.0,414.0,,,
Remove Parameter,get_output,get_output,,,,,['The parameters [ option ] of the method get_output from the module snntoolbox/core/inisim.py in class MaxPool2DReLU is/are removed'],1e0ee7cc2ef00ebbeff663bfa2d041bfaf5233d6,snntoolbox/core/inisim.py/MaxPool2DReLU,419.0,426.0,,,
Add Parameter,plot_potential,plot_potential,,,,,['The parameters [ v_thresh ] are added to the method plot_potential from the module snntoolbox/simulation/plotting.py'],209512917ec9778992b20f91286fdf1951e6a3c3,snntoolbox/simulation/plotting.py,884.0,884.0,,,
Add Parameter,set_mem_stats,set_mem_stats,,,,,['The parameters [ v_thresh ] are added to the method set_mem_stats from the module snntoolbox/simulation/utils.py in class AbstractSNN'],209512917ec9778992b20f91286fdf1951e6a3c3,snntoolbox/simulation/utils.py/AbstractSNN,981.0,983.0,,,
Remove Parameter,get_binary_frame,get_binary_frame,,,,,['The parameters [ pol is_x_first is_x_flipped is_y_flipped data_format ] of the method get_binary_frame from the module snntoolbox/datasets/aedat/DVSIterator.py is/are removed'],20ecfd211bc8bdfddd5d4cecad53ae2f03fe669f,snntoolbox/datasets/aedat/DVSIterator.py,316.0,296.0,,,
Remove Parameter,get_eventframe_sequence,get_eventframe_sequence,,,,,['The parameters [ pol is_x_first is_x_flipped is_y_flipped data_format ] of the method get_eventframe_sequence from the module snntoolbox/datasets/aedat/DVSIterator.py is/are removed'],20ecfd211bc8bdfddd5d4cecad53ae2f03fe669f,snntoolbox/datasets/aedat/DVSIterator.py,383.0,348.0,,,
Remove Parameter,next_eventframe_batch,next_eventframe_batch,,,,,['The parameters [ x_b_pol is_x_first is_x_flipped is_y_flipped data_format ] of the method next_eventframe_batch from the module snntoolbox/datasets/aedat/DVSIterator.py is/are removed'],20ecfd211bc8bdfddd5d4cecad53ae2f03fe669f,snntoolbox/datasets/aedat/DVSIterator.py,401.0,363.0,,,
Extract Method,update_neurons,relu,,,,, The method relu from the module snntoolbox/core/inisim.py is extracted from method update_neurons from the module snntoolbox/core/inisim.py ,267df4b548af1be0d528b00d7df2c09dbc0d7934,snntoolbox/core/inisim.py,,,"(46,50)",57.0,"[48.0, 51.0, 53.0, 55.0, 57.0, 59.0, 60.0, 61.0, 62.0]"
Extract Method,update_neurons,softmax,,,,, The method softmax from the module snntoolbox/core/inisim.py is extracted from method update_neurons from the module snntoolbox/core/inisim.py ,267df4b548af1be0d528b00d7df2c09dbc0d7934,snntoolbox/core/inisim.py,,,"(46,50)",76.0,"[48.0, 51.0, 55.0, 57.0, 59.0, 60.0, 61.0, 62.0]"
Change/Rename Parameter,normalize_weights,normalize_weights,,,,,['The parameters [ X_train ] of the method normalize_weights from the module snntoolbox/core/model.py in class SNN are changed/renamed to [X_test]'],26e64f776fc75348ba476b69d865207e7bc29f48,snntoolbox/core/model.py/SNN,179.0,178.0,,,
Change/Rename Parameter,get_activations_layer,get_activations_layer,,,,,['The parameters [ X_train ] of the method get_activations_layer from the module docs/build/html/_downloads/util.py are changed/renamed to [x_train]'],301f57742b4a4a92a95ab1fe37674791a0d24580,docs/build/html/_downloads/util.py,293.0,403.0,,,
Change/Rename Parameter,get_activations_layer,get_activations_layer,,,,,['The parameters [ X_train ] of the method get_activations_layer from the module snntoolbox/core/util.py are changed/renamed to [x_train]'],301f57742b4a4a92a95ab1fe37674791a0d24580,snntoolbox/core/util.py,381.0,430.0,,,
Change/Rename Parameter,evaluate,evaluate,,,,,['The parameters [ X_test Y_test ] of the method evaluate from the module snntoolbox/model_libs/keras_input_lib.py are changed/renamed to [x_test y_test]'],301f57742b4a4a92a95ab1fe37674791a0d24580,snntoolbox/model_libs/keras_input_lib.py,215.0,214.0,,,
Remove Parameter,assert_batch_size,assert_batch_size,,,,,['The parameters [ self ] of the method assert_batch_size from the module snntoolbox/target_simulators/INI_target_sim.py in class SNN is/are removed'],301f57742b4a4a92a95ab1fe37674791a0d24580,snntoolbox/target_simulators/INI_target_sim.py/SNN,476.0,480.0,,,
Remove Parameter,end_sim,end_sim,,,,,['The parameters [ self ] of the method end_sim from the module snntoolbox/target_simulators/INI_target_sim.py in class SNN is/are removed'],301f57742b4a4a92a95ab1fe37674791a0d24580,snntoolbox/target_simulators/INI_target_sim.py/SNN,491.0,496.0,,,
Move Method,get_activations_batch,get_activations_batch,docs/build/html/_downloads/util.py,snntoolbox/core/util.py,336.0,473.0, method get_activations_batch from the module docs/build/html/_downloads/util.py was moved to module snntoolbox/core/util.py ,301f57742b4a4a92a95ab1fe37674791a0d24580,,,,,,
Move Method,__init__,__init__,snntoolbox/core/inisim.py/SpikeFlatten,snntoolbox/core/inisim.py/SpikeMaxPooling2D,297.0,471.0, method __init__ from the module snntoolbox/core/inisim.py in class SpikeFlatten was moved to class SpikeMaxPooling2D of module snntoolbox/core/inisim.py ,31a87fa3f9347e9ab4aa53772373ae0f7a0731ad,,,,,,
Move Method,__init__,__init__,snntoolbox/core/inisim.py/SpikeDense,snntoolbox/core/inisim.py/SpikeMaxPooling2D,326.0,471.0, method __init__ from the module snntoolbox/core/inisim.py in class SpikeDense was moved to class SpikeMaxPooling2D of module snntoolbox/core/inisim.py ,31a87fa3f9347e9ab4aa53772373ae0f7a0731ad,,,,,,
Remove Parameter,normalize_parameters,normalize_parameters,,,,,['The parameters [ X_train ] of the method normalize_parameters from the module snntoolbox/core/model.py in class SNN is/are removed'],33013f2982401305675dce7dc08503596e1c6f03,snntoolbox/core/model.py/SNN,178.0,178.0,,,
Rename Method,display_experimental_settings,edit_normalization_settings,,,,,['The method display_experimental_settings from the module snntoolbox/gui/gui.py in class SNNToolboxGUI is renamed to edit_normalization_settings'],33013f2982401305675dce7dc08503596e1c6f03,snntoolbox/gui/gui.py/SNNToolboxGUI,705.0,691.0,,,
Remove Parameter,get_caltech101,get_caltech101,,,,,['The parameters [ flat ] of the method get_caltech101 from the module snntoolbox/io_utils/datasets/caltech101.py is/are removed'],33013f2982401305675dce7dc08503596e1c6f03,snntoolbox/io_utils/datasets/caltech101.py,21.0,21.0,,,
Extract Method,get_fanout_array,_get_fanout_array_1D,,,,, The method _get_fanout_array_1D from the module snntoolbox/parsing/utils.py is extracted from method get_fanout_array from the module snntoolbox/parsing/utils.py ,34581a8c9f408be3e50acce082e63666e9335776,snntoolbox/parsing/utils.py,,,"(1243,1243)",1263.0,"[1250.0, 1253.0, 1257.0, 1259.0, 1264.0, 1266.0, 1267.0, 1268.0, 1269.0, 1270.0, 1271.0, 1272.0, 1273.0, 1274.0, 1290.0, 1291.0, 1293.0]"
Extract Method,get_fanout_array,_get_fanout_array_2D,,,,, The method _get_fanout_array_2D from the module snntoolbox/parsing/utils.py is extracted from method get_fanout_array from the module snntoolbox/parsing/utils.py ,34581a8c9f408be3e50acce082e63666e9335776,snntoolbox/parsing/utils.py,,,"(1243,1243)",1298.0,"[1250.0, 1252.0, 1253.0, 1255.0, 1256.0, 1257.0, 1258.0, 1259.0, 1264.0, 1266.0, 1267.0, 1268.0, 1269.0, 1270.0, 1271.0, 1272.0, 1273.0, 1274.0, 1275.0, 1276.0, 1277.0, 1279.0, 1280.0, 1281.0, 1282.0, 1285.0, 1286.0, 1288.0, 1290.0, 1291.0, 1293.0]"
Extract Method,_config,get_config,,,,, The method get_config from the module tests/conftest.py is extracted from method _config from the module tests/conftest.py ,3523a61256c3040aa3f4fd3fc579511f85169212,tests/conftest.py,,,"(20,20)",35.0,"[23.0, 24.0, 25.0, 26.0, 27.0, 29.0, 33.0, 34.0, 36.0, 37.0, 38.0, 40.0, 42.0]"
Extract Method,_model_1,get_model_1,,,,, The method get_model_1 from the module tests/conftest.py is extracted from method _model_1 from the module tests/conftest.py ,3523a61256c3040aa3f4fd3fc579511f85169212,tests/conftest.py,,,"(96,146)",151.0,"[99.0, 101.0, 102.0, 104.0, 109.0, 113.0, 114.0, 119.0, 120.0, 121.0, 125.0, 127.0, 129.0, 132.0, 134.0]"
Extract Method,_model_4,get_model_4,,,,, The method get_model_4 from the module tests/conftest.py is extracted from method _model_4 from the module tests/conftest.py ,3523a61256c3040aa3f4fd3fc579511f85169212,tests/conftest.py,,,"(230,283)",293.0,"[233.0, 234.0, 236.0, 237.0, 238.0, 240.0, 243.0, 244.0, 246.0, 247.0, 248.0, 249.0, 250.0, 252.0, 253.0, 255.0, 256.0, 258.0, 260.0, 261.0, 263.0, 265.0, 268.0, 270.0, 271.0, 273.0, 274.0, 275.0, 276.0, 277.0, 278.0, 279.0, 280.0, 282.0, 283.0, 284.0, 285.0, 286.0, 287.0, 288.0, 289.0, 290.0, 292.0, 295.0]"
Extract Method,_model_maxpool2D_1,get_model_maxpool2D_1,,,,, The method get_model_maxpool2D_1 from the module tests/simulation/test_pooling.py is extracted from method _model_maxpool2D_1 from the module tests/simulation/test_pooling.py ,3523a61256c3040aa3f4fd3fc579511f85169212,tests/simulation/test_pooling.py,,,"(12,13)",34.0,"[16.0, 18.0, 19.0, 21.0, 22.0, 23.0, 27.0, 29.0, 31.0]"
Add Parameter,__init__,__init__,,,,,['The parameters [ filter_flip ] are added to the method __init__ from the module snntoolbox/core/inisim.py in class SpikeConv2DReLU'],383291217db57048ca7bf90770810b540c85f8d1,snntoolbox/core/inisim.py/SpikeConv2DReLU,202.0,202.0,,,
Add Parameter,main,main,,,,,['The parameters [ filepath ] are added to the method main from the module snntoolbox/bin/run.py'],3ad31d7ed2a45fb9262a9a108b3cc66a6f5624fc,snntoolbox/bin/run.py,17.0,17.0,,,
Move Method,load_parameters,load_parameters,snntoolbox/parsing/utils.py,snntoolbox/parsing/model_libs/lasagne_input_lib.py,773.0,229.0, method load_parameters from the module snntoolbox/parsing/utils.py was moved to module snntoolbox/parsing/model_libs/lasagne_input_lib.py ,3ad31d7ed2a45fb9262a9a108b3cc66a6f5624fc,,,,,,
Move Method,save_parameters,save_parameters,snntoolbox/parsing/utils.py,snntoolbox/parsing/model_libs/lasagne_input_lib.py,789.0,245.0, method save_parameters from the module snntoolbox/parsing/utils.py was moved to module snntoolbox/parsing/model_libs/lasagne_input_lib.py ,3ad31d7ed2a45fb9262a9a108b3cc66a6f5624fc,,,,,,
Remove Parameter,get_facedetection,get_facedetection,,,,,['The parameters [ flat ] of the method get_facedetection from the module snntoolbox/io_utils/datasets/facedetection.py is/are removed'],3f40b23efdb1573adc239736b082025019e69f2e,snntoolbox/io_utils/datasets/facedetection.py,21.0,21.0,,,
Rename Class,Convolution2D,Conv2D,,,,, class Convolution2D was renamed to class Conv2D ,400e086b944906999e2b4567e8ec55a342f86bae,ann_architectures/BinaryConnect/binary_net_keras.py,,,,,
Change/Rename Parameter,__init__,__init__,,,,,['The parameters [ output_dim ] of the method __init__ from the module snntoolbox/core/inisim.py in class SpikeDense are changed/renamed to [units]'],400e086b944906999e2b4567e8ec55a342f86bae,snntoolbox/core/inisim.py/SpikeDense,479.0,479.0,,,
Change/Rename Parameter,_pooling_function,_pooling_function,,,,,['The parameters [ border_mode dim_ordering ] of the method _pooling_function from the module snntoolbox/core/inisim.py in class SpikeMaxPooling2D are changed/renamed to [padding data_format]'],400e086b944906999e2b4567e8ec55a342f86bae,snntoolbox/core/inisim.py/SpikeMaxPooling2D,772.0,771.0,,,
Rename Class,SpikeConvolution2D,SpikeConv2D,,,,, class SpikeConvolution2D was renamed to class SpikeConv2D ,400e086b944906999e2b4567e8ec55a342f86bae,snntoolbox/core/inisim.py,,,,,
Rename Method,border_mode_string,padding_string,,,,,['The method border_mode_string from the module snntoolbox/model_libs/common.py is renamed to padding_string'],400e086b944906999e2b4567e8ec55a342f86bae,snntoolbox/model_libs/common.py,12.0,12.0,,,
Change/Rename Parameter,absorb_bn,absorb_bn,,,,,['The parameters [ std ] of the method absorb_bn from the module snntoolbox/model_libs/common.py are changed/renamed to [var]'],42a122ce0634cf0f222549fdc883d31c43a6568c,snntoolbox/model_libs/common.py,26.0,26.0,,,
Add Parameter,__init__,__init__,,,,,['The parameters [ target_shape ] are added to the method __init__ from the module snntoolbox/datasets/aedat/DVSIterator.py in class DVSIterator'],432e609a4d67bcf83dbca398f03b6e0bcafd58fd,snntoolbox/datasets/aedat/DVSIterator.py/DVSIterator,14.0,14.0,,,
Change/Rename Parameter,extract_batch,extract_batch,,,,,['The parameters [ target_size ] of the method extract_batch from the module snntoolbox/datasets/aedat/DVSIterator.py are changed/renamed to [target_shape]'],432e609a4d67bcf83dbca398f03b6e0bcafd58fd,snntoolbox/datasets/aedat/DVSIterator.py,137.0,139.0,,,
Add Parameter,get_binary_frame,get_binary_frame,,,,,['The parameters [ data_format ] are added to the method get_binary_frame from the module snntoolbox/datasets/aedat/DVSIterator.py'],432e609a4d67bcf83dbca398f03b6e0bcafd58fd,snntoolbox/datasets/aedat/DVSIterator.py,300.0,302.0,,,
Add Parameter,get_eventframe_sequence,get_eventframe_sequence,,,,,['The parameters [ data_format ] are added to the method get_eventframe_sequence from the module snntoolbox/datasets/aedat/DVSIterator.py'],432e609a4d67bcf83dbca398f03b6e0bcafd58fd,snntoolbox/datasets/aedat/DVSIterator.py,352.0,358.0,,,
Add Parameter,get_frames_from_sequence,get_frames_from_sequence,,,,,['The parameters [ target_shape ] are added to the method get_frames_from_sequence from the module snntoolbox/datasets/aedat/DVSIterator.py'],432e609a4d67bcf83dbca398f03b6e0bcafd58fd,snntoolbox/datasets/aedat/DVSIterator.py,385.0,393.0,,,
Add Parameter,next_eventframe_batch,next_eventframe_batch,,,,,['The parameters [ data_format ] are added to the method next_eventframe_batch from the module snntoolbox/datasets/aedat/DVSIterator.py'],432e609a4d67bcf83dbca398f03b6e0bcafd58fd,snntoolbox/datasets/aedat/DVSIterator.py,367.0,374.0,,,
Move Method,get_top5score,get_top5score,snntoolbox/target_simulators/INI_target_sim.py,snntoolbox/core/util.py,536.0,668.0, method get_top5score from the module snntoolbox/target_simulators/INI_target_sim.py was moved to module snntoolbox/core/util.py ,43c8ec201ecd6ab3d1283548bb72d2e8bea716b8,,,,,,
Remove Parameter,__init__,__init__,,,,,['The parameters [ config ] of the method __init__ from the module snntoolbox/simulation/backends/inisim/inisim.py in class SpikeLayer is/are removed'],43d677e0468239fe0bc3dbd519700f516eb31681,snntoolbox/simulation/backends/inisim/inisim.py/SpikeLayer,456.0,36.0,,,
Change/Rename Parameter,get_time,get_time,,,,,['The parameters [ self ] of the method get_time from the module snntoolbox/simulation/backends/inisim/inisim.py are changed/renamed to [layer]'],43d677e0468239fe0bc3dbd519700f516eb31681,snntoolbox/simulation/backends/inisim/inisim.py,207.0,440.0,,,
Move Method,update_neurons,update_neurons,snntoolbox/simulation/backends/inisim/inisim.py,snntoolbox/simulation/backends/inisim/inisim.py/SpikeLayer,33.0,99.0, method update_neurons from the module snntoolbox/simulation/backends/inisim/inisim.py was moved to class SpikeLayer of module snntoolbox/simulation/backends/inisim/inisim.py ,43d677e0468239fe0bc3dbd519700f516eb31681,,,,,,
Move Method,update_payload,update_payload,snntoolbox/simulation/backends/inisim/inisim.py,snntoolbox/simulation/backends/inisim/inisim.py/SpikeLayer,69.0,134.0, method update_payload from the module snntoolbox/simulation/backends/inisim/inisim.py was moved to class SpikeLayer of module snntoolbox/simulation/backends/inisim/inisim.py ,43d677e0468239fe0bc3dbd519700f516eb31681,,,,,,
Move Method,linear_activation,linear_activation,snntoolbox/simulation/backends/inisim/inisim.py,snntoolbox/simulation/backends/inisim/inisim.py/SpikeLayer,82.0,147.0, method linear_activation from the module snntoolbox/simulation/backends/inisim/inisim.py was moved to class SpikeLayer of module snntoolbox/simulation/backends/inisim/inisim.py ,43d677e0468239fe0bc3dbd519700f516eb31681,,,,,,
Move Method,binary_sigmoid_activation,binary_sigmoid_activation,snntoolbox/simulation/backends/inisim/inisim.py,snntoolbox/simulation/backends/inisim/inisim.py/SpikeLayer,103.0,167.0, method binary_sigmoid_activation from the module snntoolbox/simulation/backends/inisim/inisim.py was moved to class SpikeLayer of module snntoolbox/simulation/backends/inisim/inisim.py ,43d677e0468239fe0bc3dbd519700f516eb31681,,,,,,
Move Method,binary_tanh_activation,binary_tanh_activation,snntoolbox/simulation/backends/inisim/inisim.py,snntoolbox/simulation/backends/inisim/inisim.py/SpikeLayer,115.0,178.0, method binary_tanh_activation from the module snntoolbox/simulation/backends/inisim/inisim.py was moved to class SpikeLayer of module snntoolbox/simulation/backends/inisim/inisim.py ,43d677e0468239fe0bc3dbd519700f516eb31681,,,,,,
Move Method,softmax_activation,softmax_activation,snntoolbox/simulation/backends/inisim/inisim.py,snntoolbox/simulation/backends/inisim/inisim.py/SpikeLayer,128.0,190.0, method softmax_activation from the module snntoolbox/simulation/backends/inisim/inisim.py was moved to class SpikeLayer of module snntoolbox/simulation/backends/inisim/inisim.py ,43d677e0468239fe0bc3dbd519700f516eb31681,,,,,,
Move Method,get_new_mem,get_new_mem,snntoolbox/simulation/backends/inisim/inisim.py,snntoolbox/simulation/backends/inisim/inisim.py/SpikeLayer,141.0,202.0, method get_new_mem from the module snntoolbox/simulation/backends/inisim/inisim.py was moved to class SpikeLayer of module snntoolbox/simulation/backends/inisim/inisim.py ,43d677e0468239fe0bc3dbd519700f516eb31681,,,,,,
Move Method,set_reset_mem,set_reset_mem,snntoolbox/simulation/backends/inisim/inisim.py,snntoolbox/simulation/backends/inisim/inisim.py/SpikeLayer,170.0,231.0, method set_reset_mem from the module snntoolbox/simulation/backends/inisim/inisim.py was moved to class SpikeLayer of module snntoolbox/simulation/backends/inisim/inisim.py ,43d677e0468239fe0bc3dbd519700f516eb31681,,,,,,
Move Method,get_new_thresh,get_new_thresh,snntoolbox/simulation/backends/inisim/inisim.py,snntoolbox/simulation/backends/inisim/inisim.py/SpikeLayer,191.0,253.0, method get_new_thresh from the module snntoolbox/simulation/backends/inisim/inisim.py was moved to class SpikeLayer of module snntoolbox/simulation/backends/inisim/inisim.py ,43d677e0468239fe0bc3dbd519700f516eb31681,,,,,,
