Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit
Change/Rename Parameter,predict,predict,qiskit_aqua/algorithms/adaptive/qsvm/qsvm_variational.py/QSVMVariational,279,279,['The parameters [ quantum_device ] of the method predict from the module qiskit_aqua/algorithms/adaptive/qsvm/qsvm_variational.py in class QSVMVariational are changed/renamed to [quantum_instance]'],050eedc89d868e31a3f72d88fdca7265c891b13b
Change/Rename Parameter,test,test,qiskit_aqua/algorithms/adaptive/qsvm/qsvm_variational.py/QSVMVariational,259,259,['The parameters [ quantum_device ] of the method test from the module qiskit_aqua/algorithms/adaptive/qsvm/qsvm_variational.py in class QSVMVariational are changed/renamed to [quantum_instance]'],050eedc89d868e31a3f72d88fdca7265c891b13b
Change/Rename Parameter,train,train,qiskit_aqua/algorithms/adaptive/qsvm/qsvm_variational.py/QSVMVariational,230,230,['The parameters [ quantum_device ] of the method train from the module qiskit_aqua/algorithms/adaptive/qsvm/qsvm_variational.py in class QSVMVariational are changed/renamed to [quantum_instance]'],050eedc89d868e31a3f72d88fdca7265c891b13b
Change/Rename Parameter,predict,predict,qiskit_aqua/algorithms/many_sample/qsvm/qsvm_kernel.py/QSVM_Kernel,146,146,['The parameters [ quantum_device ] of the method predict from the module qiskit_aqua/algorithms/many_sample/qsvm/qsvm_kernel.py in class QSVM_Kernel are changed/renamed to [quantum_instance]'],050eedc89d868e31a3f72d88fdca7265c891b13b
Change/Rename Parameter,test,test,qiskit_aqua/algorithms/many_sample/qsvm/qsvm_kernel.py/QSVM_Kernel,131,131,['The parameters [ quantum_device ] of the method test from the module qiskit_aqua/algorithms/many_sample/qsvm/qsvm_kernel.py in class QSVM_Kernel are changed/renamed to [quantum_instance]'],050eedc89d868e31a3f72d88fdca7265c891b13b
Change/Rename Parameter,train,train,qiskit_aqua/algorithms/many_sample/qsvm/qsvm_kernel.py/QSVM_Kernel,118,118,['The parameters [ quantum_device ] of the method train from the module qiskit_aqua/algorithms/many_sample/qsvm/qsvm_kernel.py in class QSVM_Kernel are changed/renamed to [quantum_instance]'],050eedc89d868e31a3f72d88fdca7265c891b13b
Rename Method,quantum_exp_config,quantum_instance,qiskit_aqua/algorithms/quantumalgorithm.py/QuantumAlgorithm,106,106,['The method quantum_exp_config from the module qiskit_aqua/algorithms/quantumalgorithm.py in class QuantumAlgorithm is renamed to quantum_instance'],050eedc89d868e31a3f72d88fdca7265c891b13b
Change/Rename Parameter,run,run,qiskit_aqua/algorithms/quantumalgorithm.py/QuantumAlgorithm,85,85,['The parameters [ quantum_device ] of the method run from the module qiskit_aqua/algorithms/quantumalgorithm.py in class QuantumAlgorithm are changed/renamed to [quantum_instance]'],050eedc89d868e31a3f72d88fdca7265c891b13b
Rename Method,test_qsvm_variational_with_minbatching,test_qsvm_variational_with_minibatching,test/test_qsvm_variational.py/TestQSVMVariational,67,67,['The method test_qsvm_variational_with_minbatching from the module test/test_qsvm_variational.py in class TestQSVMVariational is renamed to test_qsvm_variational_with_minibatching'],0668b20f54628e52626a44f1ac6a5923dbed88b3
Rename Method,_construct_circuit,_construct_circuit_components,qiskit_acqua/grover/grover.py/Grover,92,110,['The method _construct_circuit from the module qiskit_acqua/grover/grover.py in class Grover is renamed to _construct_circuit_components'],06976686b8576a7d1b55794b39440270d89139d9
Remove Parameter,build,build,qiskit/aqua/components/uncertainty_problems/fixed_income_expected_value.py/FixedIncomeExpectedValue,179,180,['The parameters [ params ] of the method build from the module qiskit/aqua/components/uncertainty_problems/fixed_income_expected_value.py in class FixedIncomeExpectedValue is/are removed'],06ff8a90858120d0094a638b9c44176db3de2227
Remove Parameter,build,build,qiskit/aqua/components/uncertainty_problems/multivariate_problem.py/MultivariateProblem,75,73,['The parameters [ params ] of the method build from the module qiskit/aqua/components/uncertainty_problems/multivariate_problem.py in class MultivariateProblem is/are removed'],06ff8a90858120d0094a638b9c44176db3de2227
Remove Parameter,build,build,qiskit/aqua/components/uncertainty_problems/univariate_problem.py/UnivariateProblem,49,48,['The parameters [ params ] of the method build from the module qiskit/aqua/components/uncertainty_problems/univariate_problem.py in class UnivariateProblem is/are removed'],06ff8a90858120d0094a638b9c44176db3de2227
Rename Method,_get_esop_expr,_get_esop_ast,qiskit/aqua/components/oracles/truth_table_oracle.py/TruthTableOracle,147,146,['The method _get_esop_expr from the module qiskit/aqua/components/oracles/truth_table_oracle.py in class TruthTableOracle is renamed to _get_esop_ast'],078e09fb69725a8a6f7d9a6733274f5d33cd7463
Add Parameter,__init__,__init__,qiskit_aqua/algorithms/components/iqfts/standard.py/Standard,41,41,['The parameters [ num_qubits ] are added to the method __init__ from the module qiskit_aqua/algorithms/components/iqfts/standard.py in class Standard'],0791f33697fbd80d99e16774d29006589c96f86c
Change/Rename Parameter,init_params,init_params,qiskit_aqua/algorithms/components/oracles/oracle.py/Oracle,45,45,['The parameters [ self ] of the method init_params from the module qiskit_aqua/algorithms/components/oracles/oracle.py in class Oracle are changed/renamed to [cls]'],0791f33697fbd80d99e16774d29006589c96f86c
Remove Parameter,_get_hits,_get_hits,qiskit/aqua/algorithms/single_sample/amplitude_estimation/ae_wo_qpe.py/AmplitudeEstimationWithoutQPE,180,181,['The parameters [ discretization_factor ] of the method _get_hits from the module qiskit/aqua/algorithms/single_sample/amplitude_estimation/ae_wo_qpe.py in class AmplitudeEstimationWithoutQPE is/are removed'],08565f1b17fd6c3044cb770d5004c8af3f3ab8dc
Add Parameter,test_qubo_gas_int_paper_example,test_qubo_gas_int_paper_example,test/optimization/test_grover_optimizer.py/TestGroverOptimizer,106,112,['The parameters [ simulator ] are added to the method test_qubo_gas_int_paper_example from the module test/optimization/test_grover_optimizer.py in class TestGroverOptimizer'],09e36d7b8cc76341686f23e0aa474f48727ae8b0
Rename Method,test_saving_and_loading,test_saving_and_loading_e2e,test/test_caching.py/TestCaching,111,114,['The method test_saving_and_loading from the module test/test_caching.py in class TestCaching is renamed to test_saving_and_loading_e2e'],0abbbff99f0a6a65eed9323aa1cfb6097cad1335
Add Parameter,test_raw_feature_vector_on_wine,test_raw_feature_vector_on_wine,test/aqua/test_vqc.py/TestVQC,293,297,['The parameters [ mode ] are added to the method test_raw_feature_vector_on_wine from the module test/aqua/test_vqc.py in class TestVQC'],0b032b60de4ec87e5c8b6f8421989f7341446ee3
Rename Method,_exact_simulation,_statevector_simulation,qiskit_aqua/algorithms/single_sample/hhl/hhl.py/HHL,205,187,['The method _exact_simulation from the module qiskit_aqua/algorithms/single_sample/hhl/hhl.py in class HHL is renamed to _statevector_simulation'],0b035cdf74f6db782c515d693148ecebb75700df
Rename Method,test_hhl_diagonal_qasm,test_hhl_diagonal_swap,test/test_hhl.py/TestHHL,128,128,['The method test_hhl_diagonal_qasm from the module test/test_hhl.py in class TestHHL is renamed to test_hhl_diagonal_swap'],0b035cdf74f6db782c515d693148ecebb75700df
Remove Parameter,_augment_config,_augment_config,qiskit/chemistry/drivers/gaussiand/gaussiandriver.py/GaussianDriver,109,99,['The parameters [ self ] of the method _augment_config from the module qiskit/chemistry/drivers/gaussiand/gaussiandriver.py in class GaussianDriver is/are removed'],0b10c82a5f7ac8d7e12c50382a7e791b3af1e798
Remove Parameter,_get_matrix,_get_matrix,qiskit/chemistry/drivers/gaussiand/gaussiandriver.py/GaussianDriver,325,320,['The parameters [ self ] of the method _get_matrix from the module qiskit/chemistry/drivers/gaussiand/gaussiandriver.py in class GaussianDriver is/are removed'],0b10c82a5f7ac8d7e12c50382a7e791b3af1e798
Remove Parameter,_parse_matrix_file,_parse_matrix_file,qiskit/chemistry/drivers/gaussiand/gaussiandriver.py/GaussianDriver,173,165,['The parameters [ self ] of the method _parse_matrix_file from the module qiskit/chemistry/drivers/gaussiand/gaussiandriver.py in class GaussianDriver is/are removed'],0b10c82a5f7ac8d7e12c50382a7e791b3af1e798
Add Parameter,__init__,__init__,qiskit/aqua/algorithms/single_sample/grover/grover.py/Grover,92,100,['The parameters [ init_state ] are added to the method __init__ from the module qiskit/aqua/algorithms/single_sample/grover/grover.py in class Grover'],0b43edd4cd0f49499161412579eb0f65b53f02e6
Rename Method,enable_ibmq_account,_enable_ibmq_account,qiskit/aqua/utils/backend_utils.py,336,337,['The method enable_ibmq_account from the module qiskit/aqua/utils/backend_utils.py is renamed to _enable_ibmq_account'],0b4d842f456032be4fe3f01239de0250739b7092
Add Parameter,test_hhl_diagonal_longdivison_sv,test_hhl_diagonal_longdivison_sv,test/test_hhl.py/TestHHL,97,97,['The parameters [ vector ] are added to the method test_hhl_diagonal_longdivison_sv from the module test/test_hhl.py in class TestHHL'],0bce1bfd582d315138428c77944ae8f002489822
Add Parameter,test_hhl_diagonal_qasm,test_hhl_diagonal_qasm,test/test_hhl.py/TestHHL,130,130,['The parameters [ vector ] are added to the method test_hhl_diagonal_qasm from the module test/test_hhl.py in class TestHHL'],0bce1bfd582d315138428c77944ae8f002489822
Add Parameter,test_hhl_diagonal_sv,test_hhl_diagonal_sv,test/test_hhl.py/TestHHL,67,67,['The parameters [ vector ] are added to the method test_hhl_diagonal_sv from the module test/test_hhl.py in class TestHHL'],0bce1bfd582d315138428c77944ae8f002489822
Change/Rename Parameter,init_params,init_params,qiskit_aqua/algorithms/components/eigs/eigs.py/Eigenvalues,52,47,['The parameters [ self ] of the method init_params from the module qiskit_aqua/algorithms/components/eigs/eigs.py in class Eigenvalues are changed/renamed to [cls]'],0bf24e192497d530473ffdf7a4503b9edd682230
Add Parameter,__init__,__init__,qiskit_aqua/algorithms/components/reciprocals/lookup_rotation.py/LookupRotation,83,83,['The parameters [ pat_length subpat_length scale negative_evals evo_time lambda_min ] are added to the method __init__ from the module qiskit_aqua/algorithms/components/reciprocals/lookup_rotation.py in class LookupRotation'],0bf24e192497d530473ffdf7a4503b9edd682230
Change/Rename Parameter,init_params,init_params,qiskit_aqua/algorithms/components/reciprocals/reciprocal.py/Reciprocal,48,42,['The parameters [ self ] of the method init_params from the module qiskit_aqua/algorithms/components/reciprocals/reciprocal.py in class Reciprocal are changed/renamed to [cls]'],0bf24e192497d530473ffdf7a4503b9edd682230
Remove Parameter,load_vec_from_list,load_vec_from_list,qiskit_aqua/input/linearsysteminput.py/LinearSystemInput,97,100,['The parameters [ self ] of the method load_vec_from_list from the module qiskit_aqua/input/linearsysteminput.py in class LinearSystemInput is/are removed'],0bf24e192497d530473ffdf7a4503b9edd682230
Add Parameter,init_args,init_args,qiskit_aqua/algorithms/components/initial_states/hartree_fock.py/HartreeFock,70,70,['The parameters [ sq_list ] are added to the method init_args from the module qiskit_aqua/algorithms/components/initial_states/hartree_fock.py in class HartreeFock'],0c405d02b1788ad90e50e51d3132bc9712e1d889
Rename Method,support_noise_model,is_aer_qasm,qiskit/aqua/utils/backend_utils.py,136,136,['The method support_noise_model from the module qiskit/aqua/utils/backend_utils.py is renamed to is_aer_qasm'],0c457d1571be8cab642253f46cb3fe425a85db96
Rename Method,get_quantum_exp_config_with_aer_qasm_simulator,get_quantum_instance_with_aer_qasm_simulator,qiskit_aqua/quantum_instance.py,297,297,['The method get_quantum_exp_config_with_aer_qasm_simulator from the module qiskit_aqua/quantum_instance.py is renamed to get_quantum_instance_with_aer_qasm_simulator'],0c483c07d8394660ad64f4f3f797681f2898d01e
Rename Method,get_quantum_exp_config_with_aer_statevector_simulator,get_quantum_instance_with_aer_statevector_simulator,qiskit_aqua/quantum_instance.py,292,292,['The method get_quantum_exp_config_with_aer_statevector_simulator from the module qiskit_aqua/quantum_instance.py is renamed to get_quantum_instance_with_aer_statevector_simulator'],0c483c07d8394660ad64f4f3f797681f2898d01e
Add Parameter,construct_inverse,construct_inverse,qiskit/aqua/components/eigs/eigs.py/Eigenvalues,67,61,['The parameters [ circuit inreg outreg ] are added to the method construct_inverse from the module qiskit/aqua/components/eigs/eigs.py in class Eigenvalues'],0c71fd6fce7f835eac3e52a4276f476659efdd3a
Change/Rename Parameter,compute_integrals,compute_integrals,qiskit/chemistry/drivers/pyquanted/integrals.py,33,33,['The parameters [ calc_type ] of the method compute_integrals from the module qiskit/chemistry/drivers/pyquanted/integrals.py are changed/renamed to [hf_method]'],0d50f3d0cb9f432df17f555fde68974ac58464b6
Add Parameter,__init__,__init__,qiskit/chemistry/drivers/pyquanted/pyquantedriver.py/PyQuanteDriver,83,93,['The parameters [ hf_method ] are added to the method __init__ from the module qiskit/chemistry/drivers/pyquanted/pyquantedriver.py in class PyQuanteDriver'],0d50f3d0cb9f432df17f555fde68974ac58464b6
Change/Rename Parameter,compute_integrals,compute_integrals,qiskit/chemistry/drivers/pyscfd/integrals.py,30,30,['The parameters [ calc_type ] of the method compute_integrals from the module qiskit/chemistry/drivers/pyscfd/integrals.py are changed/renamed to [hf_method]'],0d50f3d0cb9f432df17f555fde68974ac58464b6
Change/Rename Parameter,setup_quantum_backend,setup_quantum_backend,qiskit_aqua/algorithms/quantumalgorithm.py/QuantumAlgorithm,140,140,['The parameters [ skip_transpiler ] of the method setup_quantum_backend from the module qiskit_aqua/algorithms/quantumalgorithm.py in class QuantumAlgorithm are changed/renamed to [pass_manager]'],0da0ed97918cf7d05da055852e90d7ccbec49e87
Add Parameter,taper,taper,qiskit/aqua/operators/tapered_weighed_pauli_operator.py/TaperedWeightedPauliOperator,52,78,['The parameters [ name ] are added to the method taper from the module qiskit/aqua/operators/tapered_weighed_pauli_operator.py in class TaperedWeightedPauliOperator'],0dfe27c952b9c6f76425394f166a7058e86d3218
Add Parameter,construct_evaluation_circuit,construct_evaluation_circuit,qiskit/aqua/operators/weighted_pauli_operator.py/WeightedPauliOperator,478,569,['The parameters [ operator_mode input_circuit ] are added to the method construct_evaluation_circuit from the module qiskit/aqua/operators/weighted_pauli_operator.py in class WeightedPauliOperator'],0dfe27c952b9c6f76425394f166a7058e86d3218
Add Parameter,evaluate_with_result,evaluate_with_result,qiskit/aqua/operators/weighted_pauli_operator.py/WeightedPauliOperator,614,718,['The parameters [ operator_mode circuits ] are added to the method evaluate_with_result from the module qiskit/aqua/operators/weighted_pauli_operator.py in class WeightedPauliOperator'],0dfe27c952b9c6f76425394f166a7058e86d3218
Add Parameter,evolve,evolve,qiskit/aqua/operators/weighted_pauli_operator.py/WeightedPauliOperator,858,833,['The parameters [ state_in ] are added to the method evolve from the module qiskit/aqua/operators/weighted_pauli_operator.py in class WeightedPauliOperator'],0dfe27c952b9c6f76425394f166a7058e86d3218
Add Parameter,simplify,simplify,qiskit/aqua/operators/weighted_pauli_operator.py/WeightedPauliOperator,260,317,['The parameters [ copy ] are added to the method simplify from the module qiskit/aqua/operators/weighted_pauli_operator.py in class WeightedPauliOperator'],0dfe27c952b9c6f76425394f166a7058e86d3218
Rename Method,to_grouped_paulis,to_grouped_weighted_pauli_operator,qiskit/aqua/operators/weighted_pauli_operator.py/WeightedPauliOperator,685,430,['The method to_grouped_paulis from the module qiskit/aqua/operators/weighted_pauli_operator.py in class WeightedPauliOperator is renamed to to_grouped_weighted_pauli_operator'],0dfe27c952b9c6f76425394f166a7058e86d3218
Rename Method,_run_with_num_iterations,_run_with_existing_iterations,qiskit/aqua/algorithms/single_sample/grover/grover.py/Grover,201,200,['The method _run_with_num_iterations from the module qiskit/aqua/algorithms/single_sample/grover/grover.py in class Grover is renamed to _run_with_existing_iterations'],100d4324d967d947e1f4b62fa6b5c918a252e4f0
Remove Parameter,construct_diffusion_circuit,construct_diffusion_circuit,qiskit/aqua/algorithms/single_sample/grover/grover.py/Grover,144,141,['The parameters [ outcome_register ] of the method construct_diffusion_circuit from the module qiskit/aqua/algorithms/single_sample/grover/grover.py in class Grover is/are removed'],100d4324d967d947e1f4b62fa6b5c918a252e4f0
Rename Method,sv_to_vec,sv_to_resvec,qiskit/aqua/components/reciprocals/long_division.py/LongDivision,81,81,['The method sv_to_vec from the module qiskit/aqua/components/reciprocals/long_division.py in class LongDivision is renamed to sv_to_resvec'],10a3a85de58e664096490cab07861c627d28eb98
Rename Method,sv_to_vec,sv_to_resvec,qiskit/aqua/components/reciprocals/lookup_rotation.py/LookupRotation,93,93,['The method sv_to_vec from the module qiskit/aqua/components/reciprocals/lookup_rotation.py in class LookupRotation is renamed to sv_to_resvec'],10a3a85de58e664096490cab07861c627d28eb98
Rename Method,_S_x_squared,_s_x_squared,qiskit_aqua_chemistry/fermionic_operator.py/FermionicOperator,545,565,['The method _S_x_squared from the module qiskit_aqua_chemistry/fermionic_operator.py in class FermionicOperator is renamed to _s_x_squared'],11657a95bcc4a5d295a443069f71f0abc5e1e95e
Rename Method,_S_y_squared,_s_y_squared,qiskit_aqua_chemistry/fermionic_operator.py/FermionicOperator,575,595,['The method _S_y_squared from the module qiskit_aqua_chemistry/fermionic_operator.py in class FermionicOperator is renamed to _s_y_squared'],11657a95bcc4a5d295a443069f71f0abc5e1e95e
Rename Method,_S_z_squared,_s_z_squared,qiskit_aqua_chemistry/fermionic_operator.py/FermionicOperator,605,625,['The method _S_z_squared from the module qiskit_aqua_chemistry/fermionic_operator.py in class FermionicOperator is renamed to _s_z_squared'],11657a95bcc4a5d295a443069f71f0abc5e1e95e
Remove Parameter,construct_inverse,construct_inverse,qiskit/aqua/components/eigs/eigs.py/Eigenvalues,67,67,['The parameters [ inreg outreg ] of the method construct_inverse from the module qiskit/aqua/components/eigs/eigs.py in class Eigenvalues is/are removed'],127fd7a22e0bdc30a6e2407d1401c7b3ac1e9da5
Add Parameter,set_discriminator,set_discriminator,qiskit/aqua/algorithms/adaptive/qgan/qgan.py/QGAN,253,255,['The parameters [ discriminator ] are added to the method set_discriminator from the module qiskit/aqua/algorithms/adaptive/qgan/qgan.py in class QGAN'],12900d8f190f28ab84abfef54400079f4e6e01dc
Rename Method,test_hhl_simple,test_hhl_diagonal,test/test_hhl.py/TestHHL,67,67,['The method test_hhl_simple from the module test/test_hhl.py in class TestHHL is renamed to test_hhl_diagonal'],12ab232a70d67467957242f9b0f905a330a32262
Add Parameter,_set_section_property,_set_section_property,qiskit_acqua/parser/_inputparser.py/InputParser,807,807,['The parameters [ types ] are added to the method _set_section_property from the module qiskit_acqua/parser/_inputparser.py in class InputParser'],133cab692d08bcbb0aa73f26f718adab37b89235
Rename Method,_construct_circuit_components,construct_circuit,qiskit_aqua/algorithms/single_sample/simon/simon.py/Simon,67,68,['The method _construct_circuit_components from the module qiskit_aqua/algorithms/single_sample/simon/simon.py in class Simon is renamed to construct_circuit'],139864b26bd23159af7553461ad6abd167fb36e7
Rename Method,discover_preferences_pluggables,_discover_preferences_pluggables,qiskit_aqua/_discover.py,145,174,['The method discover_preferences_pluggables from the module qiskit_aqua/_discover.py is renamed to _discover_preferences_pluggables'],1486d3c54704a45876807cce6aa920d657bb26e1
Add Parameter,__init__,__init__,qiskit/chemistry/aqua_extensions/components/variational_forms/uccsd.py/UCCSD,100,104,['The parameters [ shallow_circuit_concat ] are added to the method __init__ from the module qiskit/chemistry/aqua_extensions/components/variational_forms/uccsd.py in class UCCSD'],14bf66a579cc3b5f80e025b3f7d5bbda4769359c
Change Return Type,x,x,qiskit/optimization/algorithms/optimization_algorithm.py/OptimizationResult,141,148,['The return type of method x from the module qiskit/optimization/algorithms/optimization_algorithm.py in class OptimizationResult is updated'],155b104f821fb74d8d37c6988a3666c6ad49366b
Add Parameter,_discover_local_pluggables,_discover_local_pluggables,qiskit_acqua/_discover.py,102,126,['The parameters [ names_to_exclude folders_to_exclude ] are added to the method _discover_local_pluggables from the module qiskit_acqua/_discover.py'],1585f8c89d8c887fa0462d9ecf021c90498463ec
Change/Rename Parameter,_chernoff,_chernoff,qiskit/aqua/algorithms/single_sample/amplitude_estimation/iqae.py/IterativeAmplitudeEstimation,230,213,['The parameters [ N_total_shots ] of the method _chernoff from the module qiskit/aqua/algorithms/single_sample/amplitude_estimation/iqae.py in class IterativeAmplitudeEstimation are changed/renamed to [shots]'],159f0e0706265f0b5871d4e1f750aaa22f6dd85a
Change/Rename Parameter,load_model,load_model,qiskit/aqua/components/neural_networks/classical_discriminator.py/ClassicalDiscriminator,175,174,['The parameters [ dir ] of the method load_model from the module qiskit/aqua/components/neural_networks/classical_discriminator.py in class ClassicalDiscriminator are changed/renamed to [load_dir]'],161676883db833fda050a50bc0630319bf1b553e
Remove Parameter,build,build,qiskit/aqua/components/uncertainty_models/univariate_variational_distribution.py/UnivariateVariationalDistribution,75,97,['The parameters [ params ] of the method build from the module qiskit/aqua/components/uncertainty_models/univariate_variational_distribution.py in class UnivariateVariationalDistribution is/are removed'],161676883db833fda050a50bc0630319bf1b553e
Rename Method,compile_cirucits,compile_circuits,qiskit/aqua/utils/run_circuits.py,128,128,['The method compile_cirucits from the module qiskit/aqua/utils/run_circuits.py is renamed to compile_circuits'],1623144209b1c0b295316d548e5092883823e615
Change/Rename Parameter,__init__,__init__,qiskit/chemistry/components/variational_forms/uccsd.py/UCCSD,125,125,['The parameters [ force_no_tap_excitation ] of the method __init__ from the module qiskit/chemistry/components/variational_forms/uccsd.py in class UCCSD are changed/renamed to [ignore_excitation_tapering]'],1688b41f45efb2fe4b991c5023e47b569394553b
Change/Rename Parameter,_build_hopping_operator,_build_hopping_operator,qiskit/chemistry/components/variational_forms/uccsd.py/UCCSD,321,323,['The parameters [ force_no_tap_excitation ] of the method _build_hopping_operator from the module qiskit/chemistry/components/variational_forms/uccsd.py in class UCCSD are changed/renamed to [ignore_excitation_tapering]'],1688b41f45efb2fe4b991c5023e47b569394553b
Add Parameter,__init__,__init__,qiskit/aqua/quantum_instance.py/QuantumInstance,49,50,['The parameters [ measurement_error_mitigation_shots ] are added to the method __init__ from the module qiskit/aqua/quantum_instance.py in class QuantumInstance'],170c6060cb04ff3efce0943ff2e43da84b8a5b70
