Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,__init__,__init__,lib/roi_data_layer/roibatchLoader.py/roibatchLoader,23.0,23.0,['The parameters [ ratio_list ] are added to the method __init__ from the module lib/roi_data_layer/roibatchLoader.py in class roibatchLoader'],dce4bf3fd82e36e5e1ef4642ecd441ad023c7db4,,,,,,,
Remove Parameter,__init__,__init__,lib/model/faster_rcnn/faster_rcnn.py/_fasterRCNN,14.0,30.0,['The parameters [ ngpu ] of the method __init__ from the module lib/model/faster_rcnn/faster_rcnn.py in class _fasterRCNN is/are removed'],e29f5e8492b32a44162bb450b72e26c80bf91484,,,,,,,
Rename Method,bbox_overlaps1,bbox_overlaps,lib/model/rpn/bbox_transform.py,99.0,96.0,['The method bbox_overlaps1 from the module lib/model/rpn/bbox_transform.py is renamed to bbox_overlaps'],e6570631e863c0a7d43c2b077936d90391ed79f4,,,,,,,
Add Parameter,clip_boxes,clip_boxes,lib/model/rpn/bbox_transform.py,76.0,71.0,['The parameters [ batch_size ] are added to the method clip_boxes from the module lib/model/rpn/bbox_transform.py'],e6570631e863c0a7d43c2b077936d90391ed79f4,,,,,,,
Add Parameter,__init__,__init__,lib/model/rpn/rpn.py/_RPN,15.0,17.0,['The parameters [ feat_height feat_width ] are added to the method __init__ from the module lib/model/rpn/rpn.py in class _RPN'],e6570631e863c0a7d43c2b077936d90391ed79f4,,,,,,,
Add Parameter,__init__,__init__,lib/model/faster_rcnn/faster_rcnn.py/_fasterRCNN,24.0,14.0,['The parameters [ ngpu ] are added to the method __init__ from the module lib/model/faster_rcnn/faster_rcnn.py in class _fasterRCNN'],f1227e53d953751694847ff03b651355f6b659b8,,,,,,,
Move Method,combined_roidb,combined_roidb,,,, method combined_roidb from the module tools/trainval_net.py was moved to module lib/roi_data_layer/roidb.py ,f1227e53d953751694847ff03b651355f6b659b8,tools/trainval_net.py,lib/roi_data_layer/roidb.py,65.0,46.0,,,
Move Method,get_training_roidb,get_training_roidb,,,, method get_training_roidb from the module tools/trainval_net.py was moved to module lib/roi_data_layer/roidb.py ,f1227e53d953751694847ff03b651355f6b659b8,tools/trainval_net.py,lib/roi_data_layer/roidb.py,70.0,51.0,,,
Move Method,get_roidb,get_roidb,,,, method get_roidb from the module tools/trainval_net.py was moved to module lib/roi_data_layer/roidb.py ,f1227e53d953751694847ff03b651355f6b659b8,tools/trainval_net.py,lib/roi_data_layer/roidb.py,83.0,64.0,,,
Add Parameter,__init__,__init__,lib/model/faster_rcnn/faster_rcnn_cascade.py/_RCNN_base,23.0,23.0,['The parameters [ dout_base_model ] are added to the method __init__ from the module lib/model/faster_rcnn/faster_rcnn_cascade.py in class _RCNN_base'],f860a09e81ea4bff1f14014e936803a72868959d,,,,,,,
Remove Parameter,__init__,__init__,lib/model/rpn/rpn.py/_RPN,18.0,18.0,['The parameters [ feat_height feat_width ] of the method __init__ from the module lib/model/rpn/rpn.py in class _RPN is/are removed'],f860a09e81ea4bff1f14014e936803a72868959d,,,,,,,
Add Parameter,__init__,__init__,lib/model/faster_rcnn/faster_rcnn_cascade.py/_fasterRCNN,22.0,22.0,['The parameters [ class_agnostic ] are added to the method __init__ from the module lib/model/faster_rcnn/faster_rcnn_cascade.py in class _fasterRCNN'],f9e4747dab1ead60865da79a032b25f152769765,,,,,,,
Add Parameter,__init__,__init__,lib/model/faster_rcnn/resnet.py/resnet,219.0,219.0,['The parameters [ class_agnostic ] are added to the method __init__ from the module lib/model/faster_rcnn/resnet.py in class resnet'],f9e4747dab1ead60865da79a032b25f152769765,,,,,,,
Add Parameter,__init__,__init__,lib/model/faster_rcnn/vgg16.py/vgg16,20.0,20.0,['The parameters [ class_agnostic ] are added to the method __init__ from the module lib/model/faster_rcnn/vgg16.py in class vgg16'],f9e4747dab1ead60865da79a032b25f152769765,,,,,,,
Rename Class,RoIPool,_RoIPool,lib/model/roi_pooling_single/modules/roi_pool.py,,, class RoIPool was renamed to class _RoIPool ,fd7f172d6ebea133732a699fbc8c7ca141babbf1,,,,,,,
